

[2020-11-20 00:25:25] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-20 00:30:24] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-20 00:37:55] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-20 00:43:23] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-20 00:46:54] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-20 00:48:06] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-21 21:42:38] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-21 21:44:40] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-21 21:52:41] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-21 22:02:39] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
